word,phoneme,short_def,vi,hint_level
from moment to moment,/ˈfrʌm/,quickly as time passes,từ khoảnh khắc này sang khoảnh khắc khác,1
hold/hang on a moment,/ˈhoʊld/,used to tell one to wait,giữ / chờ một lúc,1
not for a/one moment,/ˈnɑːt/,at no time,không trong một khoảnh khắc,1
momentum,/moʊˈmɛntəm/,the force of a moving object,quán tính,4
monarch,/ˈmɑːˌnɑːrk/,one who rules an empire,quốc vương,4
monarchist,/ˈmɑːnɑːrkɪst/,one who supports a king,quân chủ,1
monarchy,/ˈmɑːnɑːrki/,system of government by a king,chế độ quân chủ,4
monastery,/ˈmɑːnəˌstɛri/,a place where monks live,tu viện,3
monasticism,/məˈnæstəˌsɪzəm/,a form of a religious life,tu viện,1
monday,"/ˈmʌndi/, /ˈmʌnˌdeɪ/",,thứ hai,4
monday-morning quarterback,"/ˈmʌndi/, /ˈmʌnˌdeɪ/",one who criticizes others,tiền vệ sáng thứ hai,1
money for jam,/ˈmʌni/,money that is easily earned,tiền cho mứt,1
put (your) money on,/ˈpʊt/,to bet on,bỏ tiền (của bạn) vào,1
put your money where your mouth is,/ˈpʊt/,to give money to show support,"đặt tiền của bạn, nơi miệng của bạn",1
moneybags,/ˈmʌniːz/,a very rich person,những túi tiền,2
moneylender,/ˈmʌniːd/,one who lends money,người cho vay nặng lãi,1
moneyman,/ˈmʌniːˌmeɪkɪŋ/,one who controls money,người có tiền,1
mongoose,/ˈmɑːŋguːs/,a small and fast animal,cầy mangut,2
mongrel,/ˌmɑːŋgoʊˈsuːtuːz/,a dog of mixed breed,giống lai,2
moniker,/ˈmɑːnɪkɝ/,a name,biệt danh,2
monk,/ˈmʌŋk/,one in a religious community,nhà sư,3
monkey,/ˈmʌŋki/,a type of animal,con khỉ,5
a monkey on your back,"/ə/, /ˈeɪ/",a problem not easily solved,một con khỉ trên lưng của bạn,1
make a monkey out of,/ˈmeɪk/,to make a fool out of one,làm một con khỉ ra khỏi,1
not give a monkey's,/ˈnɑːt/,to not care at all,không cho một con khỉ,1
monkeyshines,/ˈmʌŋkiːz/,tricks and jokes,bóng khỉ,1
throw/hurl/toss a monkey wrench into,/ˈθroʊ/,to damage,ném/quăng/quăng cờ lê khỉ vào,1
mono,/ˈmoʊnoʊ/,disease that causes weakness,bệnh tăng bạch cầu đơn nhân,2
monocle,/ˈmɑːnəkəl/,glass for one eye,kính một mắt,1
monogamy,/məˈnɑːgəmi/,state of marrying one at a time,chế độ một vợ một chồng,2
monogram,/ˈmɑːnəˌgræm/,a symbol made from letters,chữ lồng,1
monolith,/ˈmɑːnəˌlɪθ/,a large organization,đá nguyên khối,1
monologue,/ˈmɑːnəˌlɔg/,a long speech,độc thoại,2
mononucleosis,/ˌmɑːnəˈnuːkliːɝ/,a disease leading to weakness,bạch cầu đơn nhân,1
monoplane,/ˈmɑːnəˌpleɪn/,a plane with one set of wings,một mặt phẳng,1
monopolist,/məˈnɑːpələst/,one who takes control,nhà độc quyền,1
monopolization,/məˌnɑːpəlɪˈzeɪʃən/,complete control of something,độc quyền,1
monopoly,/məˈnɑːpəli/,the control over a supply,sự độc quyền,4
monorail,/ˈmɑːnɝˌeɪl/,a kind of vehicle,đường ray đơn,1
monosyllable,/ˌmɑːnəˈsækɝˌaɪd/,a word with one syllable,đơn âm tiết,1
monotheism,/ˈmɑːnəˌθiːɪzəm/,belief that there is only 1 God,thuyết độc thần,1
monotheist,/ˈmɑːnəˌθiːɪzəm/,one who believes in one god,độc thần,1
monotone,/ˈmɑːnəˌtoʊn/,a flat tone of voice,giọng bằng bằng,1
monotony,/məˈnɑːtəni/,lack of variety and interest,sự đơn điệu,4
monsignor,/mɑːnˈsiːnjɝ/,a Roman Catholic priest,đức ông,2
monsoon,/mɑːnˈsuːn/,a heavy rain,gió mùa,2
monster,/ˈmɑːnstɝ/,very popular and successful,quái vật,4
monstrosity,/mɑːnˈstrɑːsəti/,a thing that is large and ugly,sự quái dị,1
montage,/mɑːnˈtɑːʒ/,a mixture of things,dựng phim,2
monterey jack,/ˌmɑːntəˈreɪ/,,jack cắm monterey,1
a month of sundays,"/ə/, /ˈeɪ/",an very long time,một tháng chủ nhật,1
monument,"/ˈmɑːnjuːmənt/, /ˈmɑːnjəmənt/",an example of something,đài kỷ niệm,4
moo,/ˈmuː/,the sound made by a cow,âm thanh được tạo ra bởi một con bò,2
the mood takes you,"/ðə/, /ˈðʌ/, /ði/",the feeling of wanting to do,tâm trạng đưa bạn,1
moodiness,/ˈmuːdi/,state of changing feelings,ủ rũ,1
moola,/ˈmʊk/,money,tiền bạc,2
ask for the moon,/ˈæsk/,to ask for impossible things,hỏi mặt trăng,1
reach/shoot for the moon,/ˈriːtʃ/,to try to do a difficult task,vươn tới/chụp mặt trăng,1
moonbeam,/ˈmuːnˌbiːm/,a line of light from the moon,ánh trăng,1
moonlight,/ˈmuːnˌlaɪt/,the light of the moon,ánh trăng,3
do a moonlight flit,/ˈduː/,to leave in a secret way,làm một chuyến bay ánh trăng,1
moonlighter,/ˈmuːnˌlaɪt/,person who holds a second job,người trông trăng,1
moonroof,/ˈmuːnˌlɪt/,a part of a car's roof,cửa sổ trời,1
moonscape,/ˈmuːnz/,the look of the moon's surface,cảnh mặt trăng,1
moonshine,/ˈmuːnˌʃaɪn/,words that make no sense,ánh trăng,1
moonshiner,/ˈmuːnˌʃaɪn/,one who makes illegal alcohol,người soi trăng,1
moor,/ˈmʊr/,to hold in place with,thả neo,3
moor,/ˈmʊr/,member of North African Arab people,đồng hoang,1
mooring,/ˈmʊrɪŋ/,a place to secure boats,neo đậu,1
moorland,/ˈmʊrˌlænd/,a kind of land,đồng hoang,1
moose,/ˈmuːs/,a type of large animal,nai sừng tấm,2
mop,/ˈmɑːp/,a tool for cleaning floors,chổi lau nhà,4
moped,"/ˈmoʊpt/, /ˈmoʊpɛd/",a small motorbike,xe gắn máy,2
moppet,/ˈmɑːps/,a young person,cây lau nhà,1
morale,/mɝˈæl/,good feelings about a task,đạo đức,4
moralist,/ˈmɔrəlɪst/,one with strong moral ideas,nhà đạo đức học,1
morality,/ˌmɔˈræləˌtiː/,state of being right and good,đạo đức,4
morass,"/mɝˈæs/, /ˈmɔræs/",soft and wet ground,mớ hỗn độn,1
moratorium,/ˌmɔrəˈtɔriːəm/,temporary ban of an activity,lệnh cấm,1
mores,"/ˈmɔˌreɪz/, /ˈmɔˌriːz/",traditions of a society,công việc khác,1
morgue,/ˈmɔrg/,a place to keep dead bodies,nhà xác,2
mormon,/ˈmɔrmən/,a member of a church,mặc môn,1
morn,/ˈmɔrn/,morning,buổi sáng,2
"morning, noon, and night",/ˈmɔrnɪŋ/,all the time,"sáng, trưa và tối",1
moron,/ˈmɔˌrɑːn/,a stupid person,thằng ngu,2
moroseness,/mɝˈoʊs/,a nature that is not nice,ủ rũ,1
morpheme,/ˈmɔrft/,a word or a part of a word,hình vị,1
morphine,/ˈmɔrfiːn/,a drug that reduces pain,moocphin,2
morphology,/mɔrˈfɑːlədʒi/,the study of word formation,hình thái học,1
morrow,"/ˈmɑːroʊ/, /ˈmɔroʊ/",the next day,ngày mai,2
morsel,/ˈmɔrsəl/,a small piece of food,miếng nhỏ,2
mortal,/ˈmɔrtəl/,causing death,người chết,4
mortality,/mɔrˈtæləti/,state of being able to die,tỷ lệ tử vong,4
mortar,/ˈmɔrtɝ/,substance used to bind stones,vữa,3
mortarboard,/mɔrˈtɑːrə/,a hat with a flat square top,ván vữa,1
mortgage,"/ˈmɔrgədʒ/, /ˈmɔrgɪdʒ/",to give a legal claim on,thế chấp,4
mortgagee,/ˈmɔrgɪdʒd/,one that lends money,người thế chấp,3
mortgagor,/ˈmɔrgɪdʒɪŋ/,one who borrows money,người thế chấp,1
mortician,/mɔrˈtɪʃən/,one who prepares the dead,người thế chấp,1
mortification,/ˈmɔrtəfˌkeɪʃən/,death of cells by infection,hành xác,1
mortise,/ˈmɔrtɪs/,a hole cut in a piece of wood,lỗ mộng,1
mortuary,/ˈmɔrtʃuːˌɛri/,a place to keep dead bodies,nhà xác,2
mosaic,/moʊˈzeɪɪk/,a surface made of glass pieces,khảm,3
mosque,"/ˈmɑːsk/, /ˈmɔsk/",a Muslim place of worship,nhà thờ hồi giáo,3
mosquito,/məˈskiːtoʊ/,a small flying insect,con muỗi,4
moss,/ˈmɔs/,plant that grows on rocks,rêu,3
make the most of,/ˈmeɪk/,to use (something) in a way that will get the best result,tận dụng tối đa,1
mot,/ˌmɑːˈskaʊski/,a car safety test,bộ gtvt,1
mote,/ˈmoʊt/,a tiny piece of matter,vi trần,2
motel,/moʊˈtɛl/,a small hotel by a road,nhà trọ,4
moth,/ˈmɔθ/,a kind of insect,bướm đêm,3
mothball,/ˈmɔθˌbɔl/,substance to keep insects away,băng phiến,1
necessity is the mother of invention,"/nəˈsɛsəti/, /nəˈsɛsɪti/",new ways are found when needed,cần thiết là mẹ của sáng chế,1
motherhood,/ˈmʌðɝˌhʊd/,relation between mom and child,làm mẹ,3
motherboard,/ˈmʌðɝɪnˌlɔ/,the main power board,bo mạch chủ,1
mother country,/ˈmʌðɝ/,the country one came from,đất nước mẹ,1
mothering sunday,/ˈmʌðɝɪŋ/,a special day to honor mothers,chủ nhật làm mẹ,1
mother-in-law apartment,/ˈmʌðɝɪnˌlɔ/,a small apartment,chung cư mẹ vợ,1
motherland,/ˈmʌðɝˌlænd/,one's native place,quê hương,1
mother's day,/ˈmʌðɝɪnˌlɔ/,a special day to honor mothers,ngày của mẹ,1
motif,/moʊˈtiːf/,something that is repeated,họa tiết,3
motion,/ˈmoʊʃən/,a formal suggestion,cử động,4
go through the motions,/ˈgoʊ/,to do without much effort,đi qua các chuyển động,1
motivator,/ˈmoʊtəveɪtɝ/,a positive influence,người thúc đẩy,1
motive,/ˈmoʊtɪv/,related to motion,động cơ,4
motocross,/ˈmoʊtoʊ/,sport of racing motor vehicles,mô tô,1
motorbike,/ˈmoʊtɝˌbaɪk/,a bike with a motor,xe máy,2
motorboat,/ˈmoʊtɝˌboʊt/,a boat with a motor,xuồng máy,1
motorcade,/ˈmoʊtɝˌkeɪd/,vehicles travelling together,đoàn hộ tống,2
motorcar,/ˈmoʊtɝˌkɑːr/,a car,động cơ xe,1
motorcycle,/ˈmoʊtɝˌsaɪkəl/,a vehicle with two wheels,xe máy,5
motorcyclist,/ˈmoʊtɝˌsaɪklɪst/,one who rides a motor bike,người đi xe máy,1
motor inn,/ˈmoʊtɝ/,a small hotel,nhà trọ xe máy,1
motorist,/ˈmoʊtɝɪst/,one who drives a car,người lái xe,3
motorman,/ˈmoʊtɝˌaɪzd/,one who drives public vehicles,người lái xe máy,1
motormouth,/ˈmoʊtɝˌaɪzd/,one who talks too much,động cơ miệng,1
motorway,/ˈmoʊtɝz/,large road for fast traffic,đường cao tốc,4
motto,/ˈmɑːtoʊ/,a rule guiding one's behavior,châm ngôn,3
mound,/ˈmaʊnd/,a small hill,gò đất,3
mountaineer,/ˈmaʊntɪˌnɪr/,one who climbs mountains,người leo núi,2
mountaineering,/ˈmaʊntɪˌnɪrɪŋ/,the act of climbing a mountain,leo núi,3
mountainside,/ˈmaʊntənˌsaɪd/,the side of a mountain,sườn núi,2
mountaintop,/ˈmaʊntənˌtɑːp/,the top of a mountain,đỉnh núi,2
mountebank,/ˈmaʊntˌkæsəl/,a man who is not honest,lang băm,1
mountie,/muːntˈfɔrd/,a police officer in Canada,người cưỡi ngựa,1
mourner,/ˈmɔrnɝ/,one who visits a dead person,người đưa tang,1
mournfulness,/ˈmɔrnfəl/,a state of being sad,sự thương tiếc,1
mourning,/ˈmɔrnɪŋ/,feeling sad for one's death,tang chế,4
mouser,/ˈmaʊzɝ/,a cat that catches mice well,người đánh chuột,1
mousetrap,/ˈmaʊˌstræp/,small trap to catch mice,bẫy chuột,1
moussaka,/ˈmaʊsə/,a Greek dish,một món ăn hy lạp,1
mousse,/ˈmuːs/,a type of sweet food,bánh xốp,2
all mouth (and no trousers/action),/ˈɔl/,to talk but never do,tất cả miệng (và không mặc quần / hành động),1
down in the mouth,/ˈdaʊn/,unhappy or depressed,chán nản,1
keep your mouth shut,/ˈkiːp/,to not talk about,ngậm miệng lại,1
mouthful,/ˈmaʊθˌfʊl/,a long difficult word,lắm mồm,4
mouthpiece,/ˈmaʊθˌpiːs/,one who speaks for another,cơ quan ngôn luận,2
mouth-to-mouth resuscitation,/ˈmaʊθ/,method of helping one breathe,hô hấp nhân tạo,1
mouthwash,/ˈmaʊθˌwɑːʃ/,a liquid to clean one's mouth,súc miệng,2
get a move on,"/ˈgɛt/, /ˈgɪt/",to start moving quickly,dọn tới,1
put the moves on,/ˈpʊt/,to do or say things to get sex,đưa các di chuyển trên,1
mover,/ˈmuːvɝ/,one who moves in a certain way,người di chuyển,1
moviegoer,/ˈmuːˌviːˌgoʊɝ/,one who goes to a theater,người xem phim,1
moviemaker,/ˈmuːˌviːˌmeɪkɝ/,one who makes movies,nhà sản xuất phim,1
mower,/ˈmoʊɝ/,a tool to cut grass,máy cắt cỏ,2
mow,/ˈmoʊ/,to cut with a tool,cắt cỏ,4
moxie,/ˈmɑːksi/,the ability to be active,khả năng hoạt động,2
mozzarella,/ˈmɑːzli/,a soft cheese,phô mai mozzarella,1
mp3,/ˈmɑːzli/,computer file in sound format,tập tin máy tính ở định dạng âm thanh,1
mr. big,/ˈmɪstɝ/,leader of a group of criminals,ông lớn,1
mri,/mˈrɑːzɪk/,method to produce body images,chụp cộng hưởng từ,1
mr. nice guy,/ˈmɪstɝ/,a man who treats people kindly,anh đẹp trai,1
mr. right,/ˈmɪstɝ/,a man who would be the husband,mr đúng,1
mrs.,/ˈmɪsɪz/,,bà.,1
ms.,/ˈmɪz/,,bệnh đa xơ cứng.,1
msg,/ˈmɪz/,a kind of salt used in foods,bột ngọt,1
muck,/ˈmʌk/,solid waste from farm animals,vấy bẩn,3
make a muck of something,/ˈmeɪk/,to do something badly,làm cho một cái gì đó muck của một cái gì đó,1
muckraker,/ˈmʌˌkreɪkɝ/,one who finds shocking data,đồ ăn vặt,2
muckraking,/ˈmʌˌkreɪkɪŋ/,the exposure of private lives,sự ăn trộm,1
mucus,/ˈmjuːkəs/,liquid produced in a body part,chất nhầy,2
mud,/ˈmʌd/,soft and wet soil,bùn,5
as clear as mud,"/ˈæz/, /ˈɛz/",not clear at all,rõ ràng như bùn,1
your name is mud,"/ˈjɔr/, /ˈjʊr/",one who is not trusted,tên của bạn là bùn,1
muddle,/ˈmʌdəl/,a mistake caused by confusion,lộn xộn,2
mud flap,/ˈmʌd/,a thin sheet behind a wheel,vạt bùn,1
mudguard,/ˈmʌdʒɪt/,guard over a vehicle's wheel,tấm chắn bùn,1
mudroom,/ˈmʌdrɪk/,a room at an entrance,phòng tắm bùn,1
mudslide,/ˈmʌdslaɪd/,a mass of wet earth that falls,lở đất,1
mudslinging,/ˈmʌdˌslɪŋɪŋ/,act of saying false things,người đi bắt bùn,1
mudslinger,/ˈmʌdslaɪdz/,one who talks about others,người bắt bùn,1
muffin,/ˈmʌfən/,a type of flat round bread,bánh nướng xốp,2
muffler,/ˈmʌflɝ/,a cloth worn on the neck,ống giảm thanh,2
mug,/ˈmʌg/,the liquid in a cup,cốc,4
mugger,/ˈmʌgɝ/,one who attacks and steals,kẻ cướp bóc,2
mugging,/ˈmʌgɪŋ/,act of attacking and stealing,ăn trộm,2
muggins,/ˈmʌgɪŋz/,a foolish person,cốc nguyệt san,1
mulatto,/məˈlɑːtoʊ/,mean term for one of mixed race,cá da trơn,1
mulberry,/ˈmʌlˌbɛri/,a type of tree,dâu tằm,2
mulch,/ˈmʌltʃ/,a material to cover plants,mùn,2
mule,/ˈmjuːl/,an animal like a horse,con la,4
mullet,/ˈmʌlət/,a style of hair,cá đối,2
mullion,/ˈmʌˌlɪnz/,wood separating two windows,tiền bạc,1
multiculturalism,/ˌməltiːˈkʌltʃɝəˌlɪzəm/,a belief in cultural diversity,đa văn hóa,1
multimillionaire,"/ˌməltiːˌmɪljəˈnɛr/, /ˌməltaɪˌmɪljəˈnɛr/",a very wealthy person,triệu phú,1
multinational,"/ˌməlˌtaɪˈnæʃənəl/, /ˌməlˌtiːˈnæʃənəl/",company working in many countries,đa quốc gia,3
multiplex,/ˈmʌltiːˌplɛks/,a building with many theaters,ghép kênh,2
multiplication,/ˌməltəpləˈkeɪʃən/,a math term,phép nhân,4
multiplicity,/ˌməltəˈplɪsɪti/,a very large number,đa dạng,3
multitasking,/ˈmʌltiːˌtæskɪŋ/,ability to do many things,đa nhiệm,1
multitude,"/ˈmʌltəˌtuːd/, /ˈmʌltətˌjuːd/",a group of common people,vô số,4
multivitamin,/ˌməltiːˈvaɪˌtəmən/,tablet that has many vitamins,vitamin tổng hợp,1
mumbler,/ˈmʌmbəld/,one who speaks in a soft way,người lẩm bẩm,1
mumbling,"/ˈmʌmbəlɪŋ/, /ˈmʌmblɪŋ/",unclear speech,lầm bầm,2
mumble,/ˈmʌmbəl/,to say in an unclear way,lầm bầm,2
mummy,/ˈmʌmi/,a wrapped dead body,xác ướp,3
mumps,/ˈmʌmps/,a type of disease,bệnh quai bị,2
munchies,/ˈmʌnˌtʃiːz/,small items of food,kẹo dẻo,1
munchkin,/ˈmʌntʃɪŋ/,a child or small person,một đứa trẻ hoặc người nhỏ,2
municipality,/ˌmjuːnɪsəˈpæləti/,city with its own government,đô thị,4
munificence,/ˈmjuːniːɝ/,liberal with giving gifts,sự phong phú,1
munitions,/mjuːˈnɪʃənz/,military weapons,đạn dược,2
mural,/ˈmjʊrəl/,a large painting on a wall,bức tranh tường,2
get away with murder,"/ˈgɛt/, /ˈgɪt/",to commit a murder,thoát tội giết người,1
murderer,/ˈmɝːdɝɝ/,a criminal who kills,sát nhân,3
murderess,/ˈmɝːdɝɝz/,a woman who murders,nữ sát nhân,2
murk,/ˈmɝːk/,darkness,âm u,1
murkiness,/ˈmɝːkiːɝ/,the quality of not being clear,sự âm u,1
murmur,/ˈmɝːmɝ/,quiet expression of an opinion,thì thầm,4
murphy bed,/ˈmɝːfi/,type of bed that can be folded,giường murphy,1
murphy's law,/ˈmɝːfiːz/,a funny statement,định luật murphy,1
muscleman,/ˈmʌsəld/,strong man with large muscles,người đàn ông cơ bắp,1
muscovite,/ˈmʌskəˌvaɪt/,a citizen of Moscow,một công dân của moscow,1
muscularity,/ˈmʌskjəlɝ/,a creative style with energy,cơ bắp,1
musculature,/ˈmʌskjələtʃɝ/,the muscles of the body,cơ bắp,1
muse,/ˈmjuːz/,one who inspires another,ngân nga,2
mush,/ˈmʌʃ/,order for dogs to pull a sled,bột nhão,2
mushroom,/ˈmʌʃruːm/,one that can be eaten,nấm,4
musicality,/ˌmjuːzɪˈkæləti/,the property of music,âm nhạc,1
musicianship,/mjuːˈzɪʃənʃɪp/,the skill of making music,âm nhạc,1
musicology,/ˌmjuːzɪˈkɑːlədʒəst/,the study of music,âm nhạc học,1
musicologist,/ˌmjuːzɪˈkɑːlədʒəst/,student of the study of music,nhà âm nhạc học,1
musk,/ˈmʌsk/,a strong smelling substance,xạ hương,1
musket,/ˈmʌskət/,a type of long gun,súng hỏa mai,2
musketeer,/ˌməskəˈtiːr/,a soldier with a type of gun,lính ngự lâm,2
muskrat,/ˈmʌˌskræt/,a type of small animal,chuột xạ hương,2
muslim,"/ˈmʌzləm/, /ˈmʌzlɪm/",one whose religion is Islam,hồi,3
muslin,/ˈmʌzlən/,thin material,vải dạ,1
mussel,/ˈmʌsəl/,a type of shelled fish,hến,1
mustache,/ˈmʌˌstæʃ/,hair growing on the upper lip,ria,2
mustachio,/məˈstæʃiːˌoʊ/,a kind of hair above the lips,ria mép,1
mustang,/ˈmʌˌstæŋ/,a small wild horse,một con ngựa hoang nhỏ,2
mustard,/ˈmʌstɝd/,a dark yellow color,mù tạc,3
muster,/ˈmʌstɝ/,a formal military gathering,tập hợp,3
mustiness,/ˈmʌstɪn/,the quality of seeming old,mốc meo,1
mutability,/məˈʃɪnski/,the ability to change,khả năng biến đổi,1
mutant,/ˈmjuːtənt/,a thing with a gene change,dị nhân,3
mutation,/mjuːˈteɪʃən/,a new form of something,đột biến,3
mute,/ˈmjuːt/,a device to make a tone softer,tắt tiếng,4
mutilation,/ˌmjuːtəˈleɪʃən/,a very serious injury,cắt xẻo,2
mutineer,/ˌmjuːtəˈnɪr/,one involved in a revolution,kẻ nổi loạn,1
mutiny,/ˈmjuːtəni/,an uprising against authority,binh biến,2
mutt,/ˈmʌt/,dog of mixed breed,con lừa,2
muttering,/ˈmʌtɝɪŋ/,a complaint said in a low tone,lẩm bẩm,3
mutton,/ˈmʌtən/,the meat of an adult sheep,thịt cừu,2
mutton dressed as lamb,/ˈmʌtən/,a woman dressed like a girl,thịt cừu ăn mặc như cừu,1
muttonchops,/ˈmʌtən/,hair on a man's cheek,thịt cừu,1
mutuality,/ˌmjuːtʃuːˈæˌlɪti/,a relation that helps all,tương sinh,1
muumuu,/ˈmʌtsmənz/,a type of loose dress,một loại váy rộng,2
muzzle,/ˈmʌzəl/,a covering for a dog's mouth,rọ mõm,2
myalgic encephalomyelitis,/ˈmaɪ/,an illness,viêm não tủy sống,1
mynah,/ˈmaɪnə/,a bird that can copy speech,một con chim có thể sao chép lời nói,1
myopia,/maɪˈoʊpiːə/,lack of ability to see far away,cận thị,1
myriad,/ˈmɪriːəd/,too many,vô số,3
myrrh,/ˈmɝː/,a sweet smelling substance,nhựa thơm,1
myrtle,/ˈmɝːtəl/,a type of flowering tree,cây sim,2
mystery,/ˈmɪstɝi/,a thing that is not known,bí ẩn,5
mystic,/ˈmɪstɪk/,one who seeks religious knowledge,thần bí,2
mysticism,/ˈmɪstɪˌsɪzəm/,a religious practice,chủ nghĩa thần bí,2
mystification,/ˈmɪstɪks/,a thing designed to confuse,bí ẩn,1
mystique,/mɪˈstiːk/,an exciting quality,thần bí,1
myth,/ˈmɪθ/,story or idea that's not true,thần thoại,4
mythology,/məˈθɑːləˌdʒiː/,stories that are not true,thần thoại,4
keep down,/ˈkiːp/,to prevent from increasing,giữ xuống,1
keep out,/ˈkiːp/,to not enter a place,tránh xa,1
kibitz,/ˈkɪbəl/,to chat,tán gẫu,1
kick (someone) upstairs,/ˈkɪk/,to promote to a higher position,đá (ai đó) lên lầu,1
kick up your heels,/ˈkɪk/,to relax and enjoy oneself,đá gót chân của bạn,1
kidnap,/ˈkɪdˌnæp/,to take away by force,bắt cóc,4
kill (someone) with kindness,/ˈkɪl/,to be too kind,giết (ai đó) với lòng tốt,1
kill two birds with one stone,/ˈkɪl/,achieve 2 things by one action,một mũi tên trúng hai đích,1
kindle,/ˈkɪndəl/,to begin burning,thiêu,1
kiss and make up,/ˈkɪs/,to become friendly again,hôn và trang điểm,1
kiss (something) goodbye,/ˈkɪs/,to accept having lost,hôn tạm biệt (cái gì đó),1
knead,/ˈniːd/,to press with the hands,nhào,1
kneel,/ˈniːl/,place one's knees on the floor,quỳ xuống,4
knit your brow/brows,/ˈnɪt/,to move the eyebrows together,đan lông mày / lông mày của bạn,1
heart is knocking,/ˈhɑːrt/,heart is beating very hard,trái tim đang gõ cửa,1
knees are knocking,/ˈniːz/,shaking knees as one's afraid,đầu gối đang gõ,1
knock down,/ˈnɑːk/,to receive an amount as income,hạ gục,1
knock heads,/ˈnɑːk/,to argue or disagree,gõ đầu,1
knock off,/ˈnɑːk/,to defeat,loại bỏ,1
knock out,/ˈnɑːk/,to make a very good impression,hạ gục,1
knock (someone) cold,/ˈnɑːk/,to cause one to lose awareness,gõ (ai đó) lạnh,1
knock (someone) dead,/ˈnɑːk/,to make a strong impression,đánh (ai đó) chết,1
knock someone's head/block off,/ˈnɑːk/,to hit very hard,gõ đầu của ai đó / chặn ra,1
knock (someone) sideways,/ˈnɑːk/,to upset someone,hất (ai) sang một bên,1
knock (something) on the head,/ˈnɑːk/,to cause the end,gõ (cái gì) vào đầu,1
before you know it,"/bɪˈfɔr/, /ˌbiːˈfɔr/",very quickly or soon,trước khi bạn biết nó,1
don't i know it,"/ˈdoʊnt/, /ˈdoʊn/",used to say that you agree,tôi không biết điều đó sao,1
for all i know,"/ˈfɔr/, /fɝ/, /frɝ/",one has little knowledge,cho tất cả những gì tôi biết,1
if you must know,"/ˈɪf/, /ɪf/",used to answer without desire,nếu bạn phải biết,1
know different/otherwise,/ˈnoʊ/,to know that it's false,biết khác/nếu không,1
know (something) backward and forward,/ˈnoʊ/,to know completely,biết (một cái gì đó) ngược và tiến,1
know (something or someone) for what it/he/she is,/ˈnoʊ/,to know what one truly is,biết (một cái gì đó hoặc ai đó) cho nó / anh ấy / cô ấy là gì,1
know (something) when you see it/one,/ˈnoʊ/,to be able to quickly identify,biết (một cái gì đó) khi bạn nhìn thấy nó / một,1
know what hit you,/ˈnoʊ/,used to say one was surprised,biết cái gì đánh bạn,1
know what it is,/ˈnoʊ/,to have prior experience,biết nó là gì,1
know what you are talking about,/ˈnoʊ/,to have actual knowledge,biết những gì bạn đang nói về,1
know your own heart/mind,/ˈnoʊ/,to be sure of what one wants,biết trái tim / tâm trí của chính bạn,1
know your way around,/ˈnoʊ/,to be familiar with,biết đường của bạn xung quanh,1
let (something) be known,/ˈlɛt/,to tell people,để (một cái gì đó) được biết đến,1
not know someone from adam,/ˈnɑːt/,to have never met with someone,không biết ai đó từ adam,1
not know the first thing about,/ˈnɑːt/,to have no knowledge,không biết điều đầu tiên về,1
what do you know,"/ˈwʌt/, /ˈhwʌt/",used to say that one is wrong,bạn biết gì,1
wouldn't you know (it)?,/ˈwʊdənt/,used to say it happens often,bạn sẽ không biết (nó)?,1
you know what i mean,/ˈjuː/,used to suggest that one agrees,bạn có hiểu ý tôi,1
you know what they say,/ˈjuː/,used to introduce a saying,bạn biết những gì họ nói,1
kowtow,"/ˈkaʊˈtaʊ/, /ˈkoʊˈtoʊ/",to agree too easily,khấu đầu,1
kvetch,/kˈvɛtʃ/,to complain often,phàn nàn thường xuyên,1
labor under a delusion/misapprehension/misconception,/ˈleɪbɝ/,to believe what is not true,lao động dưới sự ảo tưởng/hiểu sai/quan niệm sai lầm,1
lacerate,/ˈlæsɝˌeɪt/,to cut or tear deeply,vết rách,1
lactate,/ˈlækteɪt/,to produce milk,sản xuất sữa,1
lambaste,"/ˌlæmˈbæst/, /ˌlæmˈbeɪst/",to criticize,thịt cừu,1
languish,/ˈlæŋgwɪʃ/,to continue without activity,uể oải,1
laud,/ˈlɔd/,to praise,khen ngợi,1
don't make me laugh,"/ˈdoʊnt/, /ˈdoʊn/",used to reply to a stupid statement,đừng làm tôi cười,1
"he who laughs last, laughs best",/ˈhiː/,one will fail now and win later,người cười cuối cùng là người cười đẹp nhất,1
laugh all the way to the bank,/ˈlæf/,to make a lot of money,cười suốt quãng đường tới ngân hàng,1
laugh in someone's face,/ˈlæf/,to laugh at one without respect,cười vào mặt ai đó,1
laugh on the other side of your face,/ˈlæf/,a situation will change,cười ở phía bên kia của khuôn mặt của bạn,1
laugh up your sleeve,/ˈlæf/,to be happy in a secret way,cười lên tay áo của bạn,1
launder,/ˈlɔndɝ/,to make a thing ready for use,giặt là,2
lavish on/upon,/ˈlævɪʃ/,to give a large amount of,xa hoa trên / khi,1
lay charges,/ˈleɪ/,to accuse one of a crime,đặt phí,1
lay off,/ˈleɪ/,to leave one alone,sa thải,1
lay out,/ˈleɪ/,to spend,cách trình bày,1
laze,/lɑːzˈkɑːnoʊ/,to spend time relaxing,lười biếng,1
leach,/ˈliːtʃ/,to be removed from a substance,nước rỉ,1
lead someone a merry chase,"/ˈlɛd/, /ˈliːd/",to cause a series of problems,dẫn dắt ai đó một cuộc rượt đuổi vui vẻ,1
